benchmark,bosy,strix,none
amba_decomposed_arbiter,AI_ERROR,NO_CODE,NO_CODE
amba_decomposed_encode,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,AI_ERROR,NO_CODE,ERROR_CONVERT_TO_AIGER
collector_v1,NO_CODE,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v2,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v3,TIMEOUT,ERROR_CONVERT_TO_AIGER,NO_CODE
detector,TIMEOUT,NO_CODE,ERROR_COMBINE_AIGER
full_arbiter,ERROR_CONVERT_TO_AIGER,NO_CODE,ERROR_CONVERT_TO_AIGER
load_balancer,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,NO_CODE
ltl2dba_alpha,TIMEOUT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
ltl2dba_beta,TIMEOUT,AI_ERROR,ERROR_COMBINE_AIGER
ltl2dba_C2,TIMEOUT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
ltl2dba_E,TIMEOUT,VERIFICATION_TIMEOUT,ERROR_COMBINE_AIGER
ltl2dba_Q,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_AIGER
ltl2dba_U1,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_AIGER
mux,TIMEOUT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
narylatch,TIMEOUT,NO_CODE,FALSE_RESULT
prioritized_arbiter,TIMEOUT,NO_CODE,NO_CODE
prioritized_arbiter_enc,TIMEOUT,NO_CODE,ERROR_CONVERT_TO_AIGER
round_robin_arbiter,TIMEOUT,AI_ERROR,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS,NO_CODE
simple_arbiter,TIMEOUT,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
simple_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
