benchmark,aag,opt_aag,opt_verilog,standard
amba_decomposed_arbiter,AI_ERROR,AI_ERROR,AI_ERROR,AI_ERROR
amba_decomposed_encode,AI_ERROR,AI_ERROR,AI_ERROR,AI_ERROR
amba_decomposed_lock,NO_CODE,NO_CODE,AI_ERROR,AI_ERROR
collector_v2,NO_CODE,ERROR_CONVERT_TO_AIGER,NO_CODE,NO_CODE
collector_v3,SUCCESS,SUCCESS,SUCCESS,SUCCESS
detector,NO_CODE,NO_CODE,NO_CODE,NO_CODE
load_balancer,NO_CODE,NO_CODE,NO_CODE,ERROR_CONVERT_TO_AIGER
ltl2dba_alpha,NO_CODE,NO_CODE,NO_CODE,NO_CODE
ltl2dba_C2,ERROR_CONVERT_TO_AIGER,NO_CODE,ERROR_CONVERT_TO_AIGER,NO_CODE
mux,NO_CODE,ERROR_CONVERT_TO_AIGER,NO_CODE,SUCCESS
narylatch,AI_ERROR,AI_ERROR,AI_ERROR,ERROR_CONVERT_TO_AIGER
prioritized_arbiter,NO_CODE,NO_CODE,NO_CODE,FALSE_RESULT
shift,ERROR_CONVERT_TO_AIGER,SUCCESS,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
simple_arbiter,NO_CODE,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,SUCCESS
simple_arbiter_enc,NO_CODE,NO_CODE,NO_CODE,NO_CODE
