benchmark,strix,none
amba_decomposed_arbiter,AI_ERROR,ERROR_CONVERT_TO_AIGER
amba_decomposed_encode,AI_ERROR,FALSE_RESULT
amba_decomposed_lock,AI_ERROR,ERROR_CONVERT_TO_AIGER
collector_v3,SUCCESS,ERROR_CONVERT_TO_AIGER
detector,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
full_arbiter,AI_ERROR,FALSE_RESULT
load_balancer,AI_ERROR,FALSE_RESULT
ltl2dba_alpha,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
collector_v1,AI_RATELIMIT,ERROR_CONVERT_TO_AIGER
ltl2dba_C2,FALSE_RESULT,VERIFICATION_TIMEOUT
ltl2dba_E,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
collector_v2,AI_RATELIMIT,ERROR_CONVERT_TO_AIGER
ltl2dba_Q,NO_CODE,ERROR_CONVERT_TO_AIGER
mux,SUCCESS,SUCCESS
narylatch,AI_ERROR,FALSE_RESULT
prioritized_arbiter,NO_CODE,ERROR_CONVERT_TO_AIGER
prioritized_arbiter_enc,AI_ERROR,FALSE_RESULT
ltl2dba_beta,AI_RATELIMIT,ERROR_CONVERT_TO_AIGER
shift,SUCCESS,SUCCESS
simple_arbiter_enc,AI_ERROR,FALSE_RESULT
simple_arbiter,VERIFICATION_TIMEOUT,FALSE_RESULT
ltl2dba_U1,AI_RATELIMIT,ERROR_CONVERT_TO_AIGER
round_robin_arbiter,AI_RATELIMIT,FALSE_RESULT
