benchmark,bosy,strix,none
amba_decomposed_encode,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,NO_CODE
amba_decomposed_arbiter,ERROR_CONVERT_TO_AIGER,NO_CODE,ERROR_CONVERT_TO_AIGER
collector_v3,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER,SUCCESS
collector_v2,ERROR_CONVERT_TO_AIGER,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
amba_decomposed_lock,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
collector_v1,FALSE_RESULT,FALSE_RESULT,ERROR_COMBINE_AIGER
detector,NO_CODE,NO_CODE,NO_CODE
load_balancer,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
full_arbiter,NO_CODE,NO_CODE,ERROR_COMBINE_AIGER
ltl2dba_alpha,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
ltl2dba_C2,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER
ltl2dba_beta,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
ltl2dba_Q,ERROR_COMBINE_AIGER,ERROR_COMBINE_AIGER,ERROR_CONVERT_TO_AIGER
ltl2dba_U1,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER,FALSE_RESULT
mux,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
narylatch,FALSE_RESULT,FALSE_RESULT,ERROR_CONVERT_TO_AIGER
prioritized_arbiter,NO_CODE,FALSE_RESULT,ERROR_COMBINE_AIGER
prioritized_arbiter_enc,FALSE_RESULT,ERROR_CONVERT_TO_AIGER,ERROR_COMBINE_AIGER
round_robin_arbiter,ERROR_CONVERT_TO_AIGER,FALSE_RESULT,NO_CODE
ltl2dba_E,FALSE_RESULT,NO_CODE,NO_CODE
shift,ERROR_CONVERT_TO_AIGER,FALSE_RESULT,NO_CODE
simple_arbiter_enc,ERROR_CONVERT_TO_AIGER,ERROR_CONVERT_TO_AIGER,FALSE_RESULT
simple_arbiter,FALSE_RESULT,ERROR_COMBINE_AIGER,NO_CODE
